arc_challenge,contunuation_min,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.087,43.71%,3,0.035,7.03%,4,-1.62%,-4.65%,3
Llama-3-8B,0.077,40.09%,4,0.044,8.12%,3,1.43%,3.37%,2
Mistral-7B,0.085,47.12%,2,0.032,6.19%,5,-2.25%,-5.81%,4
OLMo-7B,0.080,27.25%,5,0.062,11.95%,2,3.30%,11.27%,1
gemma-7b,0.204,116.51%,1,0.087,16.38%,1,-3.84%,-9.13%,5
Llama-3-70B,,,,,,,,,
Qwen2-72B,,,,,,,,,
,,,,,,,,,
piqa,contunuation_min,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.023,29.55%,4,0.003,1.44%,3,-1.96%,-3.09%,2
Llama-3-8B,0.012,14.20%,5,-0.014,-6.08%,4,-4.24%,-6.36%,5
Mistral-7B,0.021,32.16%,3,-0.015,-6.28%,5,-3.70%,-5.47%,4
OLMo-7B,0.036,42.31%,2,0.029,12.69%,1,-1.25%,-1.92%,1
gemma-7b,0.053,63.42%,1,0.014,5.50%,2,-3.37%,-4.98%,3
Llama-3-70B,,,,,,,,,
Qwen2-72B,,,,,,,,,
,,,,,,,,,
sciq,contunuation_min,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.026,121.43%,1,-0.005,-0.63%,4,-2.20%,-2.45%,4
Llama-3-8B,0.009,44.94%,4,-0.002,-0.25%,3,-0.70%,-0.74%,3
Mistral-7B,-0.002,-8.11%,5,0.002,0.24%,1,0.00%,0.00%,2
OLMo-7B,0.014,73.86%,3,-0.006,-0.79%,5,-2.80%,-3.13%,5
gemma-7b,0.018,90.24%,2,0.000,0.06%,2,0.10%,0.11%,1
Llama-3-70B,,,,,,,,,
Qwen2-72B,,,,,,,,,
