arc_challenge,choice,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Mistral-7B,0.124,254.51%,5,0.047,7.90%,5,-6.60%,-9.68%,6
OLMo-7B,0.327,1078.61%,2,0.309,77.35%,1,27.17%,94.68%,1
gemma-7b,0.377,1819.38%,1,0.126,20.60%,3,-12.93%,-18.18%,7
Llama-3-70B,0.045,254.57%,4,0.027,3.91%,7,0.88%,1.03%,4
Qwen2-72B,0.036,102.19%,7,0.029,4.18%,6,-0.84%,-0.94%,5
,,,,,,,,,
mmlu_stem,choice,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.329,1678.34%,2,0.176,41.56%,2,1.84%,5.32%,2
Llama-3-8B,0.145,759.00%,5,0.072,13.73%,4,0.95%,1.78%,4
Mistral-7B,0.187,1097.39%,4,0.055,10.82%,5,-5.99%,-11.93%,6
OLMo-7B,0.440,1510.79%,3,0.278,70.26%,1,10.21%,36.14%,1
gemma-7b,0.495,1689.33%,1,0.190,35.46%,3,-11.42%,-21.06%,7
Llama-3-70B,0.084,204.21%,7,0.059,9.84%,6,3.39%,5.04%,3
Qwen2-72B,0.093,253.45%,6,0.055,8.45%,7,-1.24%,-1.55%,5
,,,,,,,,,
piqa,choice,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.030,56.54%,4,0.130,80.72%,2,6.20%,9.54%,2
Llama-3-8B,-0.024,-23.84%,5,0.098,33.47%,4,0.49%,0.62%,6
Mistral-7B,-0.030,-38.86%,6,0.053,19.53%,5,0.71%,0.93%,4
OLMo-7B,0.176,386.83%,2,0.406,567.47%,1,22.91%,43.40%,1
gemma-7b,0.232,1134.23%,1,0.158,48.12%,3,-6.86%,-8.65%,7
Llama-3-70B,-0.053,-55.01%,7,0.067,17.95%,6,2.99%,3.44%,3
Qwen2-72B,0.032,145.34%,3,0.049,11.12%,7,0.71%,0.76%,5
,,,,,,,,,
sciq,choice,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,-0.133,-60.57%,6,0.103,16.06%,2,21.70%,32.83%,2
Llama-3-8B,-0.009,-44.50%,5,0.003,0.38%,5,1.50%,1.55%,4
Mistral-7B,-0.108,-88.44%,7,0.012,1.58%,3,3.40%,3.68%,3
OLMo-7B,-0.013,-26.69%,4,0.231,44.47%,1,59.30%,162.91%,1
gemma-7b,0.010,18.27%,1,0.005,0.68%,4,-2.50%,-2.62%,7
Llama-3-70B,-0.001,-4.53%,2,0.000,0.01%,7,-0.80%,-0.82%,6
Qwen2-72B,-0.003,-18.41%,3,0.001,0.14%,6,-0.40%,-0.40%,5
